tool_name,description,price_info,webapp_info,category_ids
GitHub Copilot,"AI 기반의 코드 자동 완성 및 제안 도구로, 개발자가 코드를 더 빠르고 효율적으로 작성할 수 있도록 돕습니다.","월 $10, 학생 및 오픈 소스 기여자 무료",IDE Plugin,4
Cursor,"AI 기반 편집기로, 코드베이스 검색, 버그 수정, 새로운 코드 생성에 특화되어 있습니다.","무료 플랜, 유료 플랜 월 $20부터 시작",Desktop,4
Warp,"엔지니어링을 위한 빠르고 현대적인 터미널 도구로, AI 기반 명령 완성 기능을 제공합니다.","무료, 팀 기능을 위한 유료 플랜 존재",Desktop,4
Codacy,"자동 코드 리뷰 툴로, 보안 취약점, 코드 품질 문제를 AI를 통해 자동으로 검출합니다.","무료 플랜, 유료 플랜 견적 문의",Web,4
Codeium,"무료로 제공되는 강력한 AI 코드 자동 완성 및 챗봇 툴입니다.","무료, 기업용 유료 플랜",IDE Plugin,4
Ponder (폰더),"구조적 사고, 소스 연결, 논문요약, 문서·리포트·마인드맵·마크다운 내보내기, AI 에이전트 파트너십 제공","무료체험, 월 $10, $30$, $60 요금제 (년간 결제시\n20% 할인)",Web,1:7
Deep Research (딥서치-Gemini),"수백 개의 웹사이트 분석, 파일 업로드, 단계별 조사 계획 및 심층 보고서 제공","Gemini Advanced: 월 $20 (1개월 무료체험;\nWorkspace: 기업/교육 전용)",Web,6:7
Elicit,"연구 논문을 검색하고, 논문에서 핵심 내용을 추출하여 요약해주는 AI 도우미입니다.","무료 (제한적), 유료 플랜 월 $12부터 시작",Web,6:7
Tutor AI,"개인화된 학습 계획을 생성하고, 질문에 답변하며, 학습 자료를 요약해주는 AI 튜터입니다.","무료 (제한적), 유료 플랜 월 $10부터 시작",Web,7
Quizlet,"AI 기반 학습 도구로, 플래시카드, 연습 문제, 학습 가이드 등을 제공합니다.","무료, Quizlet Plus 월 $7.99",Web/App,7
Grammarly,"영어 문법, 철자, 스타일을 교정해주는 AI 글쓰기 비서로, 학술적 글쓰기에 유용합니다.","무료 플랜, 유료 플랜 월 $12부터 시작",Web/App/Desktop,1:7
You.com,"AI 챗봇 기능과 일반 웹 검색을 결합하여 개인화된 검색 경험을 제공하는 검색 엔진입니다.","무료 서비스, YouChat Pro 유료 구독 옵션 제공",Web/App,6
Arc Search,"모바일 브라우저 Arc의 기능으로, 검색어를 입력하면 AI가 요약된 웹페이지를 생성해줍니다.","Arc 브라우저 무료 사용 가능",App,6
Consensus,"AI를 사용하여 학술 논문 및 연구 결과를 검색하고 요약해주는 툴입니다.","무료 플랜, 유료 플랜 월 $10부터 시작",Web,6:7
Rytr,"짧은 형식의 콘텐츠(이메일, 광고 문구)를 빠르게 생성하는 데 특화되어 있습니다.","무료 플랜 제공, 유료 플랜 월 $9부터 시작",Web,1
Artbreeder,"여러 이미지를 혼합하여 새로운 이미지를 만들어내는 플랫폼입니다.","무료 플랜, 유료 플랜 월 $8부터 시작",Web,2
DeepArt,"업로드한 사진을 유명 화가의 스타일로 변환해주는 도구입니다.","무료 (저해상도), 고화질 유료 결제 필요",Web,2
Soundraw,"음악의 길이, 분위기, 악기 등을 선택하여 AI가 배경 음악을 생성해줍니다.","무료 플랜, 유료 플랜 월 $19.99부터",Web,3
Typecast,"한국어 AI 성우(TTS) 서비스로, 다양한 감정 표현이 가능하며, 상업적 사용이 가능합니다.","무료 플랜, 유료 플랜 월 ₩19,000부터",Web,3
Adobe Podcast,"AI를 사용하여 녹음된 음성의 노이즈를 제거하고 품질을 향상시키는 오디오 편집 도구입니다.","무료",Web,3
Tabnine,"다양한 IDE를 지원하는 AI 코드 자동 완성 도구입니다.","무료 플랜, 유료 플랜 월 $12부터 시작",IDE Plugin,4
Replit AI,"클라우드 기반 IDE인 Replit 내에서 코드를 생성하고 디버깅하는 AI 기능입니다.","Replit 기본 무료, 유료 플랜 월 $12부터 시작",Web,4
Pictory,"긴 텍스트(블로그)나 오디오를 요약하여 짧은 소셜 미디어용 비디오로 만듭니다.","무료 체험, 유료 플랜 월 $19부터 시작",Web,5
Veed.io,"AI 기반 자동 자막 생성, 배경 제거, 영상 편집 기능을 제공하는 온라인 편집기입니다.","무료 플랜, 유료 플랜 월 $18부터 시작",Web,5
Otter.ai,"실시간으로 대화를 텍스트로 변환하고 요약하는 회의 비서 툴입니다.","무료 플랜, 유료 플랜 월 $16.99부터",Web/App,1:3
Fireflies.ai,"온라인 회의(Zoom, Google Meet)에 참여하여 대화를 녹음하고 요약, 분석합니다.","무료 플랜, 유료 플랜 월 $10부터 시작",Web/App,1:3
Tome (AutoPPT),"AI를 사용하여 프레젠테이션(PPT)의 초안과 이미지를 자동으로 생성해줍니다.","\"- Pro Month Plan - $19.99\n- Unlimited Month Plan - $29.99\n- Unlimited Year Plan - $16.66\n- Unlimited Lifetime Plan - $299.99\"",Web/App,1:2
Zapier,"수천 개의 앱을 연결하여 'If this, then that' 방식의 자동화 워크플로우를 만듭니다. (AI 기능 탑재)","무료 플랜, 유료 플랜 월 $19.99부터",Web,4
Miro AI,"온라인 화이트보드 Miro에 탑재된 AI로, 아이디어 생성, 다이어그램 그리기를 돕습니다.","무료 플랜, 유료 플랜 월 $8부터 시작",Web/App,2
Figma AI,"디자인 툴 Figma 내에서 AI를 사용하여 디자인 아이디어를 생성하고 반복 작업을 자동화합니다.","Figma 유료 플랜에 포함",Web/App/Desktop,2
Canva Magic Studio,"Canva에 내장된 AI 기능 모음으로, 디자인 생성, 이미지 편집, 텍스트 변환 등을 제공합니다.","Canva 무료, 유료 플랜 월 $12.99",Web/App,2
Looka,"AI를 사용하여 비즈니스 이름에 맞는 로고 디자인 아이디어를 생성합니다.","로고 파일 구매 시 유료($20부터)",Web,2
Uizard,"손으로 그린 스케치나 텍스트를 실제 UI 디자인 시안으로 변환해줍니다.","무료 플랜, 유료 플랜 월 $19부터 시작",Web,2
Luma AI (Genie),"텍스트 프롬프트만으로 3D 모델을 생성하는 AI 툴입니다.","무료 (제한적), 유료 플랜 월 $15부터 시작",Web/App,2
Midjourney (Style),"특정 예술 스타일을 반영한 이미지를 생성하는 고급 미드저니 기능입니다.","유료 구독 월 $10부터 시작",Web/App (Discord 기반),2
DALL-E (Editing),"기존 이미지를 편집하거나 특정 영역을 채우는 DALL-E의 인페인팅/아웃페인팅 기능입니다.","ChatGPT Plus($20) 사용 시 접근 가능",Web/App,2
DeepL Pro,"대량 번역 및 문서 파일 번역 기능을 제공하는 DeepL의 유료 버전입니다.","프로 버전 월 €7.49부터",Web/App/Desktop,1
GitHub Codespaces,"클라우드 기반 개발 환경으로, AI 코딩을 위한 강력한 인프라를 제공합니다.","사용량 기반 요금, 유료 플랜 월 $4부터 시작",Web,4
Amazon CodeWhisperer,"AWS 환경에 최적화된 AI 코딩 비서입니다.","개인 사용자 무료, 전문 사용자 유료",IDE Plugin,4
Sora (OpenAI),"텍스트 프롬프트로부터 고품질의 동영상을 생성하는 OpenAI의 AI 모델입니다. (현재는 연구 단계)","미정 (출시 후 유료 예상)",미정,5
Kaiber,"음악이나 텍스트 프롬프트에 반응하는 추상적이고 예술적인 비디오를 생성합니다.","유료 플랜 월 $5부터 시작",Web,5
ElevenLabs Projects,"긴 형식의 콘텐츠(오디오북, 팟캐스트)를 제작하기 위한 ElevenLabs의 협업 기능입니다.","유료 플랜 월 $20부터 시작",Web,3
Suno AI Pro,"더 많은 크레딧과 빠른 생성을 제공하는 Suno AI의 유료 버전입니다.","유료 플랜 월 $16부터 시작",Web,3
Descript,"오디오/비디오를 텍스트로 변환하고, 텍스트 편집만으로 오디오/비디오를 편집합니다.","무료 플랜, 유료 플랜 월 $12부터 시작",Web/Desktop,3:5
Jasper Art,"마케팅 콘텐츠에 사용할 수 있는 이미지를 생성하는 Jasper AI의 이미지 생성 기능입니다.","유료 플랜($59~)에 포함",Web,2
Writesonic ChatSonic,"ChatGPT와 유사한 대화형 AI 기능으로, 최신 정보를 기반으로 답변을 제공합니다.","유료 플랜 월 $19부터 시작",Web,1:6
QuillBot Plagiarism Checker,"표절 검사 기능이 추가된 QuillBot의 프리미엄 기능입니다.","프리미엄 플랜 월 $9.95",Web,1:7
Perplexity Pro,"추가 크레딧, 고급 모델 접근 및 우선 지원을 제공하는 Perplexity의 유료 버전입니다.","월 $20",Web/App,6:7
Tutor AI Pro,"제한 없이 개인화된 학습 모듈을 제공하는 Tutor AI의 유료 버전입니다.","유료 플랜 월 $25부터 시작",Web,7
Spline AI,"3D 디자인 툴 Spline 내에서 텍스트로 3D 객체, 질감, 애니메이션을 생성합니다.","무료 플랜, 유료 플랜 월 $7부터 시작",Web/App,2
Meshy,"텍스트나 2D 이미지를 3D 모델(메시)로 변환해주는 AI 툴입니다.","무료 플랜, 유료 플랜 월 $15부터 시작",Web,2
Beautiful.ai,"디자인 감각이 없어도 전문적인 프레젠테이션 슬라이드를 만들어주는 AI 툴입니다.","무료 체험, 유료 플랜 월 $12부터 시작",Web,1:2
Gamma App,"텍스트 입력만으로 웹페이지나 프레젠테이션 문서를 빠르게 생성합니다.","무료 플랜, 유료 플랜 월 $15부터 시작",Web,1:2
Motion,"AI가 사용자의 캘린더와 할 일 목록을 분석하여 하루 일정을 자동으로 계획해줍니다.","유료 서비스, 월 $19부터 시작",Web/App,1
Taskade,"AI 기반의 할 일 목록, 마인드맵, 프로젝트 관리 협업 도구입니다.","무료 플랜, 유료 플랜 월 $11.50부터 시작",Web/App/Desktop,1
ClickUp AI,"프로젝트 관리 도구 ClickUp 내에서 작업 요약, 댓글 자동 작성 등을 돕습니다.","유료 플랜($7~)에 AI 애드온 유료",Web/App/Desktop,1
Slack AI,"Slack 채널의 대화를 요약하고, 놓친 중요 정보를 찾아주는 기능입니다.","유료 플랜에 포함",Web/App/Desktop,1
Semrush,"SEO, 키워드 리서치, 경쟁사 분석을 위한 AI 기반 마케팅 플랫폼입니다.","유료 플랜 월 $129.95부터 시작",Web,6
Ahrefs,"백링크 분석, 키워드 검색, 사이트 감사(Audit)를 제공하는 SEO 툴입니다.","유료 플랜 월 $99부터 시작",Web,6
Surfer SEO,"콘텐츠를 구글 상위 노출에 최적화하도록 AI가 키워드와 구조를 제안합니다.","유료 플랜 월 $59부터 시작",Web,1:6
Frase.io,"AI를 사용하여 검색 엔진에 최적화된 콘텐츠 개요(Outline)를 작성해줍니다.","유료 플랜 월 $14.99부터 시작",Web,1:6
Buffer AI,"소셜 미디어 채널에 맞는 콘텐츠 아이디어를 생성하고 게시물을 작성합니다.","무료 플랜, 유료 플랜 월 $6부터 시작",Web/App,1
Mailchimp AI,"AI를 활용하여 이메일 마케팅 캠페인의 제목과 본문을 최적화합니다.","유료 플랜에 포함",Web,1
HubSpot AI,"CRM(고객 관계 관리) 내에서 AI를 사용하여 이메일 작성, 데이터 분석 등을 수행합니다.","유료 플랜에 포함",Web/App,1
Khroma,"AI를 사용하여 디자이너가 선호하는 색상 조합(팔레트)을 학습하고 생성합니다.","무료",Web,2
SaneBox,"AI를 사용하여 이메일 수신함을 정리하고 중요 메일을 필터링합니다.","유료 서비스, 월 $7부터 시작",Web/App,1
Xmind (AI),"AI가 탑재된 마인드맵 도구로, 아이디어 확장 및 정리를 돕습니다.","무료 (기본), 유료 플랜 월 $5.99",Web/App/Desktop,1
Slidesgo (AI),"프레젠테이션 템플릿과 AI 기반 디자인 제안 기능을 제공합니다.","무료, 유료 플랜 월 €4.99",Web,2
YouChat (Pro),"더 빠르고 고급 모델 접근을 제공하는 You.com의 유료 채팅 기능입니다.","월 $9.99",Web/App,6
Elicit Pro,"무제한 연구 검색과 고급 필터링을 제공하는 Elicit의 유료 버전입니다.","월 $12",Web,6:7
Claude Pro,"더 많은 사용량과 우선 접근권을 제공하는 Claude의 유료 구독 모델입니다.","월 $20",Web/App,1:4
Gemini Advanced,"Google의 가장 진보된 AI 모델에 접근하고 추가 기능을 제공합니다.","월 $19.99",Web/App,1:6:7
Copy.ai Pro,"제한 없는 AI 카피 생성과 팀 협업 기능을 제공합니다.","월 $49",Web,1
Writesonic Unlimited,"무제한 단어 생성과 모든 기능에 접근하는 유료 플랜입니다.","월 $99",Web,1
Midjourney Standard,"더 빠른 GPU 시간과 개인 채팅 기능을 제공하는 유료 플랜입니다.","월 $30",Web/App (Discord 기반),2
Runway Pro,"더 많은 비디오 생성 시간과 고급 기능을 제공합니다.","월 $28",Web/App,5
ElevenLabs Creator,"전문 성우 복제 및 더 긴 음성 합성을 위한 플랜입니다.","월 $22",Web,3
GitHub Copilot Business,"기업용 기능과 중앙 집중식 관리를 제공하는 플랜입니다.","월 $19",IDE Plugin,4
Codacy Pro,"엔터프라이즈 수준의 코드 품질 관리 기능을 제공합니다.","견적 문의",Web,4
Notion AI Plus,"노션 AI의 사용량을 확장하고 고급 기능을 제공하는 유료 애드온입니다.","월 $10",Web/App,1
Jasper AI Boss Mode,"긴 형식의 콘텐츠를 위한 고급 기능 및 팀 협업을 제공합니다.","월 $59",Web,1
Grammarly Premium,"문체 개선, 명확성 등 고급 교정 기능을 제공합니다.","월 $12",Web/App/Desktop,1:7
Ahrefs Standard,"더 많은 키워드와 사이트 추적을 제공하는 유료 플랜입니다.","월 $179",Web,6
Surfer SEO Pro,"더 많은 문서와 자연어 처리(NLP) 기능을 제공하는 유료 플랜입니다.","월 $119",Web,1:6
Frase.io Answer Engine,"사용자 질문에 자동으로 답변하는 AI 기반 지식 베이스 구축 기능입니다.","월 $49",Web,1:6
Luma AI Pro,"더 많은 3D 생성 크레딧과 빠른 처리를 제공합니다.","월 $49",Web/App,2
Amper Music Pro,"상업적 사용을 위한 무제한 음악 생성을 제공합니다.","견적 문의",Web,3
AIVA Professional,"모든 저작권을 소유하고 무제한 음악을 생성하는 최고 등급 플랜입니다.","월 €49",Web/App,3
Tabnine Pro,"개인화된 코드 추천 및 고급 모델을 제공합니다.","월 $12",IDE Plugin,4
Replit Pro,"더 강력한 클라우드 환경과 리소스를 제공합니다.","월 $20",Web,4
Pika Labs Pro,"워터마크 없는 무제한 비디오 생성 기능을 제공합니다.","월 $58",Web (Discord 기반),5
HeyGen Pro,"더 긴 비디오와 맞춤형 아바타를 제작할 수 있는 플랜입니다.","월 $59",Web,5
Synthesia Corporate,"맞춤형 아바타 및 기업 솔루션을 제공합니다.","견적 문의",Web,5:7
Pictory Premium,"더 많은 비디오 프로젝트와 고급 편집 기능을 제공합니다.","월 $39",Web,5
Veed.io Pro,"무제한 저장 공간과 4K 해상도 내보내기를 제공합니다.","월 $35",Web,5
Otter.ai Business,"팀 협업 및 보안 기능을 제공합니다.","월 $30",Web/App,1:3
Fireflies.ai Business,"팀 관리 및 CRM 연동 기능을 제공합니다.","월 $19",Web/App,1:3
Tome Team,"팀 협업 및 브랜드 템플릿 기능을 제공합니다.","월 $30",Web/App,1:2
Zapier Team,"팀 공유 및 프리미엄 앱 통합을 제공합니다.","월 $49",Web,4
Miro Business,"고급 다이어그램 기능과 관리자 도구를 제공합니다.","월 $16",Web/App,2
Figma Organization,"대규모 조직을 위한 고급 보안 및 관리 기능을 제공합니다.","월 $45",Web/App/Desktop,2
Canva Enterprise,"대기업을 위한 디자인 관리 및 워크플로우를 제공합니다.","견적 문의",Web/App,2
Looka Brand Kit,"로고 외 다양한 브랜드 자산을 제공하는 패키지입니다.","$99 일회성 결제",Web,2
Uizard Pro,"무제한 프로젝트와 고급 디자인 기능을 제공합니다.","월 $49",Web,2
Xmind Team,"팀 라이선스 및 클라우드 동기화 기능을 제공합니다.","월 $6.99",Web/App/Desktop,1
